GeneSymbol	tstat	pval	fdr_q	direction
KIAA1107	4.18097879933499	0.000332054054375933	0.0128710466813321	upreg
SPRY1	4.16989130942735	0.0003415335658252	0.0130965851883674	upreg
WLS	4.16965926838706	0.000341734799276456	0.0130965851883674	upreg
SST	4.16751578802653	0.000343599270302842	0.0130965851883674	upreg
SORT1	4.16416477433309	0.000346534352527943	0.0131536515201576	upreg
NGEF	4.16089084886638	0.000349425952856977	0.0132086025761744	upreg
NPTX2	4.15435665502524	0.000355268896410153	0.0133193932547997	upreg
NPAT	4.13893016737467	0.000369451010092717	0.0137945600783945	upreg
RP11-488L18.4	4.13604171815853	0.000372168241831334	0.0138395281940998	upreg
IFT74	4.11854049458147	0.000389061285679534	0.0142362330869636	upreg
VAMP4	4.11473098283043	0.000392838036101813	0.0142672467858001	upreg
ELMOD1	4.1145402031221	0.000393028128328061	0.0142672467858001	upreg
OSBPL10	4.10249870931885	0.000405212653063351	0.0145937318630302	upreg
COL3A1	4.09929623579092	0.000408515744089293	0.0146549958373495	upreg
CYP1B1	4.09694086170674	0.000410962145924485	0.0146851685737462	upreg
CRISPLD1	4.05666669018006	0.00045511210440888	0.0158903760906972	upreg
ADAMTS9	4.04083428346518	0.000473727376970944	0.0163728474197451	upreg
KLHL4	4.03615700135181	0.000479369678664605	0.0163728474197451	upreg
SRD5A1	4.03567288941999	0.000479957459214681	0.0163728474197451	upreg
ADAMTS12	4.03537252751902	0.000480322499818146	0.0163728474197451	upreg
PHTF2	4.03301660084489	0.000483195292173169	0.0163728474197451	upreg
PPP1R9A	4.03177710866926	0.000484713538567385	0.0163728474197451	upreg
TFAP2C	4.03151211737555	0.000485038737061867	0.0163728474197451	upreg
LPIN3	4.0270774221396	0.000490513179251259	0.0164967676523954	upreg
RPRM	4.02053954380584	0.000498695646809627	0.0167105217970125	upreg
APOLD1	4.01448330681115	0.000506395785613149	0.0169066125856416	upreg
EMILIN3	4.01243569106753	0.000509025729290461	0.0169326184382114	upreg
ABI1	4.00770424137078	0.000515154582350726	0.0170744045172604	upreg
C5orf22	4.00191416310965	0.000522754147288739	0.0172637365131712	upreg
C19orf66	3.99888887483896	0.000526768892959384	0.0173337451083409	upreg
RIMS2	3.99594762099881	0.000530701358705146	0.0174005540683304	upreg
OSBPL3	3.98613013895803	0.000544038771979159	0.0177695311010884	upreg
TNFRSF21	3.98482269943809	0.000545839809522757	0.0177695311010884	upreg
ZEB1	3.98190190450165	0.000549884620256225	0.0178377283504393	upreg
VPS41	3.97359571336098	0.000561550000823033	0.0181517740861973	upreg
IGSF3	3.97146111890625	0.000564587177932649	0.0181856886691253	upreg
ATP6V1C1	3.96934669952084	0.000567611658642692	0.0182189577313438	upreg
DOCK6	3.96675325823665	0.00057134321428468	0.0182746101788579	upreg
RAPGEF5	3.95861890735439	0.000583205287228418	0.0185244808576022	upreg
TYRO3	3.95606922645035	0.000586973272342953	0.0185796515382738	upreg
AP1S3	3.95429420344975	0.000589610642523516	0.018598777423571	upreg
FRMD4A	3.94730239789433	0.000600113623076021	0.0188650333720592	upreg
C14orf37	3.93848129819832	0.000613628618126409	0.0190847467932338	upreg
DDX25	3.93381498515701	0.000620899127732594	0.0191887382928608	upreg
IGSF22	3.93150095130433	0.000624536083092068	0.0192361505289755	upreg
FREM1	3.92758880590047	0.000630732698145938	0.019279291252917	upreg
SMIM13	3.92721671906487	0.00063132521518732	0.019279291252917	upreg
SCN9A	3.92656925014407	0.000632357565879394	0.019279291252917	upreg
ZSWIM6	3.91415907113091	0.000652470168830906	0.0195054653065415	upreg
RP11-492E3.1	3.90960421267881	0.000660009378426714	0.0196234665719303	upreg
ST8SIA5	3.90898233805783	0.000661045356173716	0.0196234665719303	upreg
PTEN	3.90529660135423	0.000667218437798374	0.01968898944891	upreg
SCN1A	3.89649399060938	0.000682192709752204	0.0200657272514911	upreg
RUNX1	3.89522864951181	0.000684372291349783	0.0200657272514911	upreg
APP	3.88872811312176	0.000695678419189341	0.0202565269259701	upreg
DOCK5	3.88767752710822	0.000697522880874322	0.0202565269259701	upreg
N4BP2L1	3.88554290498385	0.000701285404544042	0.0202658538550134	upreg
MAP3K6	3.88114542905998	0.000709099699163849	0.0203345094121215	upreg
C18orf54	3.87642632487363	0.000717581084542525	0.0205134206083787	upreg
FAM171B	3.87208230522651	0.000725476756018834	0.0206745255080277	upreg
C10orf10	3.86815944957775	0.000732680509769698	0.0208149728272712	upreg
FAM107B	3.85384726273312	0.000759565893250764	0.0214455666644575	upreg
SLC24A1	3.84794342065101	0.000770937489435848	0.0215887814497768	upreg
HS3ST3B1	3.84723600007392	0.000772311285198144	0.0215887814497768	upreg
DHX40	3.831912189917	0.000802669045505648	0.0219861286120288	upreg
RGMB	3.83187407591714	0.000802745999402518	0.0219861286120288	upreg
BMP6	3.83023467880176	0.000806062905891311	0.0220110727849116	upreg
RIN2	3.82902139813225	0.000808526363799089	0.0220126328124763	upreg
SPRY2	3.82074287237188	0.000825534251380593	0.0224085953431758	upreg
UBE4B	3.81957137352962	0.000827969336859344	0.0224085953431758	upreg
SLIT3	3.8177812402199	0.000831703990871451	0.0224432717610956	upreg
STAG2	3.8163049392149	0.000834796393080943	0.0224604642097248	upreg
