,X,Y,Z
90,4.63,10.0,0.12637073867395673
91,5.068,10.0,0.1087923047580035
92,5.506,10.0,0.0934733047974662
93,5.944,10.0,0.08122600739279213
94,6.382,10.0,0.07235695646253056
95,6.82,10.0,0.06455904703197826
96,0.25,12.0,0.015790085519260835
97,0.688,12.0,0.01989694179588759
98,1.126,12.0,0.04076156584130304
99,1.564,12.0,0.0761196165811989
100,2.002,12.0,0.11551976029737046
101,2.44,12.0,0.15220755366425692
102,2.878,12.0,0.17855044616539534
103,3.316,12.0,0.1901630611492336
104,3.754,12.0,0.18664550240463187
105,4.192,12.0,0.1751187379921622
106,4.63,12.0,0.16279222748132086
107,5.068,12.0,0.15253714360184029
108,5.506,12.0,0.1506415291653403
109,5.944,12.0,0.15023535823283057
110,6.382,12.0,0.15183879471779466
111,6.82,12.0,0.1507849766392177
112,0.25,14.0,0.06859848304188874
113,0.688,14.0,0.09092909202170714
114,1.126,14.0,0.11688098572092465
115,1.564,14.0,0.15290833679748161
116,2.002,14.0,0.18910787970305815
117,2.44,14.0,0.2158372328677905
118,2.878,14.0,0.23107883823430372
119,3.316,14.0,0.23444399847080333
120,3.754,14.0,0.23024509491755948
121,4.192,14.0,0.21946233169445262
122,4.63,14.0,0.20990926222242057
123,5.068,14.0,0.2001552672036644
124,5.506,14.0,0.19181488941524893
125,5.944,14.0,0.1850237493166622
126,6.382,14.0,0.17866468891012338
127,6.82,14.0,0.17196270776016312
128,0.25,16.0,0.1001602419649058
129,0.688,16.0,0.117390806133573
130,1.126,16.0,0.14371323730683913
131,1.564,16.0,0.1789355002326422
132,2.002,16.0,0.2113948902223167
133,2.44,16.0,0.2303416876735712
134,2.878,16.0,0.2366967051395735
135,3.316,16.0,0.22833423296266306
136,3.754,16.0,0.20975313455245348
137,4.192,16.0,0.19317727391582046
138,4.63,16.0,0.17501243752270737
139,5.068,16.0,0.16549528624648477
140,5.506,16.0,0.16056792178907997
141,5.944,16.0,0.15567663427279305
142,6.382,16.0,0.14522405471344926
143,6.82,16.0,0.1372611359787883
144,0.25,18.0,0.04964348235987653
145,0.688,18.0,0.05404354178293251
146,1.126,18.0,0.07196925020405791
147,1.564,18.0,0.09878878913949116
148,2.002,18.0,0.13183940962394197
149,2.44,18.0,0.162163600904889
150,2.878,18.0,0.1836341668140608
151,3.316,18.0,0.192196679477652
152,3.754,18.0,0.19237823475083954
153,4.192,18.0,0.18771733495158444
154,4.63,18.0,0.1773965858595565
155,5.068,18.0,0.16727399318882843
156,5.506,18.0,0.1549920177220322
157,5.944,18.0,0.14511327987583206
158,6.382,18.0,0.138543846465274
159,6.82,18.0,0.13587956573123874
160,0.25,20.0,0.02742094970956479
161,0.688,20.0,0.0398874746536607
162,1.126,20.0,0.06416793116754942
163,1.564,20.0,0.0958283366295524
164,2.002,20.0,0.13200738545692747
165,2.44,20.0,0.1661232155131248
166,2.878,20.0,0.19149307357649362
167,3.316,20.0,0.2019460533664345
168,3.754,20.0,0.1970025207230895
169,4.192,20.0,0.18572245422496308
170,4.63,20.0,0.17451395140232612
171,5.068,20.0,0.16398426770292412
172,5.506,20.0,0.15997912692412397
173,5.944,20.0,0.1584353404035065
174,6.382,20.0,0.15428140393664005
175,6.82,20.0,0.15302272910695053
176,0.25,22.0,0.05950172769206548
177,0.688,22.0,0.07320761703045055
178,1.126,22.0,0.09762154900583579
179,1.564,22.0,0.13382313696597767
180,2.002,22.0,0.1695544961247052
181,2.44,22.0,0.19219679662356542
182,2.878,22.0,0.20260123190636592
183,3.316,22.0,0.1982501172839282
184,3.754,22.0,0.1843044040403372
185,4.192,22.0,0.16680058850705953
186,4.63,22.0,0.1515338429812877
187,5.068,22.0,0.13751119704748122
188,5.506,22.0,0.12814468393824613
189,5.944,22.0,0.12296975818764262
190,6.382,22.0,0.12262844044687712
191,6.82,22.0,0.1233093633172632
192,0.25,24.0,0.04985664886563368
193,0.688,24.0,0.059680525706155486
194,1.126,24.0,0.0800228982438816
195,1.564,24.0,0.11293370137880931
196,2.002,24.0,0.14759320459430944
197,2.44,24.0,0.1729683491194438
198,2.878,24.0,0.18768127007517182
199,3.316,24.0,0.19331808576173906
200,3.754,24.0,0.19062112132414352
201,4.192,24.0,0.18282402150022087
202,4.63,24.0,0.1655982954112415
203,5.068,24.0,0.14880484072716732
204,5.506,24.0,0.13428250091617136
205,5.944,24.0,0.12267646513050194
206,6.382,24.0,0.11427381204130305
207,6.82,24.0,0.11075334551615701
208,0.25,26.0,0.0896294641351233
209,0.688,26.0,0.10094339235152143
210,1.126,26.0,0.11332783221465274
211,1.564,26.0,0.13157285830676363
212,2.002,26.0,0.15157770317626468
213,2.44,26.0,0.17160275633240557
214,2.878,26.0,0.185003261473193
215,3.316,26.0,0.1852161674626896
216,3.754,26.0,0.17848196595252264
217,4.192,26.0,0.16628083409696365
218,4.63,26.0,0.15387208754723192
219,5.068,26.0,0.13987930119420525
220,5.506,26.0,0.12896369713840863
221,5.944,26.0,0.12034487995178034
222,6.382,26.0,0.11347034527608876
223,6.82,26.0,0.10584106109484806
224,0.25,28.0,0.03017749946442127
225,0.688,28.0,0.04760744784556945
226,1.126,28.0,0.07398811509606311
227,1.564,28.0,0.11269537148052519
228,2.002,28.0,0.15526828334962892
229,2.44,28.0,0.18822431991976468
230,2.878,28.0,0.2123552359744007
231,3.316,28.0,0.22202548485182733
232,3.754,28.0,0.2192959101518978
233,4.192,28.0,0.20836898530815934
234,4.63,28.0,0.19293743555218115
235,5.068,28.0,0.18073371332512422
236,5.506,28.0,0.1778199529542536
237,5.944,28.0,0.1784147696089577
238,6.382,28.0,0.1753361140976022
239,6.82,28.0,0.16484894399051947
240,0.25,30.0,-0.004782558802115963
241,0.688,30.0,0.007544979632343763
242,1.126,30.0,0.03161327010667945
243,1.564,30.0,0.06415425684178913
244,2.002,30.0,0.09564904435099601
245,2.44,30.0,0.1195038261061325
246,2.878,30.0,0.13093291147297306
247,3.316,30.0,0.13344363214459712
248,3.754,30.0,0.12855803021849826
249,4.192,30.0,0.1190964337721427
250,4.63,30.0,0.11011611957578575
251,5.068,30.0,0.10433680522391564
252,5.506,30.0,0.10333685353117568
253,5.944,30.0,0.10466813247424693
254,6.382,30.0,0.1095802681162564
255,6.82,30.0,0.11498061897084952
256,0.25,32.0,0.051519589650413436
257,0.688,32.0,0.06258513183562504
258,1.126,32.0,0.08844934211619589
259,1.564,32.0,0.12305005601744164
260,2.002,32.0,0.1604456764429157
261,2.44,32.0,0.19094280597006086
262,2.878,32.0,0.2148269103164883
263,3.316,32.0,0.22847033572167996
264,3.754,32.0,0.22693415762599148
265,4.192,32.0,0.22368192179377
266,4.63,32.0,0.21401558961562167
267,5.068,32.0,0.20343229055694514
268,5.506,32.0,0.1918653163047776
269,5.944,32.0,0.18099314256106444
270,6.382,32.0,0.16562723702001586
271,6.82,32.0,0.15249109582913856
272,0.25,34.0,0.10732774017230237
273,0.688,34.0,0.11324034600632445
274,1.126,34.0,0.12243749553098422
275,1.564,34.0,0.13469914882737985
276,2.002,34.0,0.14990660821862883
277,2.44,34.0,0.1624304906576469
278,2.878,34.0,0.17140095619478188
279,3.316,34.0,0.16941080249398224
280,3.754,34.0,0.15890743624291215
281,4.192,34.0,0.14545115796950484
282,4.63,34.0,0.13473347706127994
283,5.068,34.0,0.1276569803506996
284,5.506,34.0,0.12742436392691836
285,5.944,34.0,0.13044748767756753
286,6.382,34.0,0.133706837116463
287,6.82,34.0,0.13521869278791215
288,0.25,36.0,0.07610284613041826
289,0.688,36.0,0.08522036303942751
290,1.126,36.0,0.10265715359272543
291,1.564,36.0,0.12743590695949575
292,2.002,36.0,0.1537663979600176
293,2.44,36.0,0.17420746822531255
294,2.878,36.0,0.1805634317891546
295,3.316,36.0,0.175781264460245
296,3.754,36.0,0.16231514047896384
297,4.192,36.0,0.14915010328115258
298,4.63,36.0,0.13693334940155327
299,5.068,36.0,0.12838268977672174
300,5.506,36.0,0.12145619140760022
301,5.944,36.0,0.11231047825104515
302,6.382,36.0,0.10554355455007362
303,6.82,36.0,0.10043729736185292
304,0.25,38.0,0.046270925606933085
305,0.688,38.0,0.05416212469558048
306,1.126,38.0,0.0752232898067441
307,1.564,38.0,0.10731668716765771
308,2.002,38.0,0.14308174095083162
309,2.44,38.0,0.17343456172495558
310,2.878,38.0,0.19946410976236165
311,3.316,38.0,0.20929798112693293
312,3.754,38.0,0.2021696538304239
313,4.192,38.0,0.18568899924562482
314,4.63,38.0,0.16390989793023159
315,5.068,38.0,0.14758343549415612
316,5.506,38.0,0.1372712304165034
317,5.944,38.0,0.1341889955608378
318,6.382,38.0,0.1321448639501961
319,6.82,38.0,0.13408957156332493
320,0.25,40.0,0.02249333788531472
321,0.688,40.0,0.04060085110163564
322,1.126,40.0,0.06322420237210478
323,1.564,40.0,0.09376258012744465
324,2.002,40.0,0.12324643496580956
325,2.44,40.0,0.14691252242907887
326,2.878,40.0,0.16316195814279744
327,3.316,40.0,0.1667703712293402
328,3.754,40.0,0.1617619153311318
329,4.192,40.0,0.1534485382498855
330,4.63,40.0,0.14364824142686244
331,5.068,40.0,0.13266173740950107
332,5.506,40.0,0.13238925662760026
333,5.944,40.0,0.13191562390527622
334,6.382,40.0,0.13377145159611104
335,6.82,40.0,0.13236537070172655
336,0.25,42.0,0.03260422882214771
337,0.688,42.0,0.040994134035735715
