,X,Y,Z
188,5.506,22.0,0.1217050114659185
189,5.944,22.0,0.0898234992745364
190,6.382,22.0,0.0643710916672486
191,6.82,22.0,0.04225073539549995
192,0.25,24.0,0.02453761233943397
193,0.688,24.0,0.02116601240004192
194,1.126,24.0,0.022968038138681368
195,1.564,24.0,0.0358133177398002
196,2.002,24.0,0.057454115415642784
197,2.44,24.0,0.07847265336300899
198,2.878,24.0,0.1028431009063409
199,3.316,24.0,0.1252324802912451
200,3.754,24.0,0.14937627350484975
201,4.192,24.0,0.1685923997466602
202,4.63,24.0,0.17280414443926245
203,5.068,24.0,0.16436114819907838
204,5.506,24.0,0.1449198541310108
205,5.944,24.0,0.12332585315402826
206,6.382,24.0,0.09066806374753773
207,6.82,24.0,0.0637906652182321
208,0.25,26.0,0.010439092117458712
209,0.688,26.0,0.016246399863336335
210,1.126,26.0,0.019762566212684414
211,1.564,26.0,0.033767065446107906
212,2.002,26.0,0.05099081486898878
213,2.44,26.0,0.073006952405345
214,2.878,26.0,0.09985354763093252
215,3.316,26.0,0.11932377639762115
216,3.754,26.0,0.12913530016909544
217,4.192,26.0,0.123516684490859
218,4.63,26.0,0.1197318076732213
219,5.068,26.0,0.10790621751119507
220,5.506,26.0,0.08771023170436118
221,5.944,26.0,0.06416539365169702
222,6.382,26.0,0.03836795637626359
223,6.82,26.0,0.016453511418601584
224,0.25,28.0,-0.046401217478965515
225,0.688,28.0,-0.04928228657539403
226,1.126,28.0,-0.04553625013452012
227,1.564,28.0,-0.030361508862375604
228,2.002,28.0,-4.606601245431517e-05
229,2.44,28.0,0.043140144358219126
230,2.878,28.0,0.09043390627795035
231,3.316,28.0,0.13917332138728625
232,3.754,28.0,0.17702068616966393
233,4.192,28.0,0.20160686738315645
234,4.63,28.0,0.21165605292329642
235,5.068,28.0,0.21140349822679377
236,5.506,28.0,0.19808782168910166
237,5.944,28.0,0.1784118569996754
238,6.382,28.0,0.15517123206370395
239,6.82,28.0,0.12440952202842497
240,0.25,30.0,-0.03225826932539701
241,0.688,30.0,-0.04120104977170374
242,1.126,30.0,-0.03928356882714555
243,1.564,30.0,-0.02402433398253481
244,2.002,30.0,0.004450668757180386
245,2.44,30.0,0.039977860854770446
246,2.878,30.0,0.07492707710786517
247,3.316,30.0,0.10493430525287192
248,3.754,30.0,0.12624502677402186
249,4.192,30.0,0.13691710823208786
250,4.63,30.0,0.13316952749813288
251,5.068,30.0,0.11989052862727607
252,5.506,30.0,0.10134745974150279
253,5.944,30.0,0.08276591538730066
254,6.382,30.0,0.06070931842711137
255,6.82,30.0,0.0477511902692908
256,0.25,32.0,-0.006876619695039268
257,0.688,32.0,-0.013255050626585807
258,1.126,32.0,-0.007842044561712693
259,1.564,32.0,0.01032938508127035
260,2.002,32.0,0.0352744220416988
261,2.44,32.0,0.06512400151614392
262,2.878,32.0,0.10274020350485988
263,3.316,32.0,0.14067356251019603
264,3.754,32.0,0.1692839395722146
265,4.192,32.0,0.1948585579970588
266,4.63,32.0,0.2082766721905096
267,5.068,32.0,0.21050925012478144
268,5.506,32.0,0.20068351224618458
269,5.944,32.0,0.18331000753266097
270,6.382,32.0,0.15632762883909807
271,6.82,32.0,0.11870733208991621
272,0.25,34.0,0.05655661600896501
273,0.688,34.0,0.05763035634403209
274,1.126,34.0,0.05885523392421288
275,1.564,34.0,0.06960146697258861
276,2.002,34.0,0.08176572459657437
277,2.44,34.0,0.09691898455201567
278,2.878,34.0,0.11316407036903968
279,3.316,34.0,0.12380499728940086
280,3.754,34.0,0.12543029756951152
281,4.192,34.0,0.11734167788175005
282,4.63,34.0,0.10326106501983463
283,5.068,34.0,0.08347544875499766
284,5.506,34.0,0.06126908830777715
285,5.944,34.0,0.04686730871340621
286,6.382,34.0,0.03729576456942052
287,6.82,34.0,0.03378099348330947
288,0.25,36.0,0.04710218780598173
289,0.688,36.0,0.045717126905821234
290,1.126,36.0,0.04528529861673558
291,1.564,36.0,0.05417671784455882
292,2.002,36.0,0.06880100165399419
293,2.44,36.0,0.08788038346333539
294,2.878,36.0,0.10851725883290123
295,3.316,36.0,0.1233650416505903
296,3.754,36.0,0.13165768677583084
297,4.192,36.0,0.1315400289238901
298,4.63,36.0,0.12546784584001808
299,5.068,36.0,0.11586975693727067
300,5.506,36.0,0.10076898218432018
301,5.944,36.0,0.08236054779023379
302,6.382,36.0,0.05707862461411849
303,6.82,36.0,0.03762761292595923
304,0.25,38.0,0.009768112379577186
305,0.688,38.0,0.005424100495743539
306,1.126,38.0,0.003060827908421229
