,time,HRF
1961,1.961,0.12026839992326883
1962,1.962,0.12038155343701784
1963,1.963,0.1204946607759746
1964,1.964,0.1206077217661712
1965,1.965,0.1207207362338758
1966,1.966,0.12083370400548014
1967,1.967,0.12094662490771378
1968,1.968,0.12105949876741935
1969,1.969,0.12117232541170403
1970,1.97,0.12128510466789923
1971,1.971,0.12139783636354663
1972,1.972,0.12151052032638256
1973,1.973,0.12162315638438255
1974,1.974,0.12173574436572406
1975,1.975,0.12184828409886206
1976,1.976,0.12196077541236072
1977,1.977,0.12207321813510737
1978,1.978,0.12218561209615592
1979,1.979,0.12229795712477858
1980,1.98,0.12241025305053095
1981,1.981,0.12252249970304917
1982,1.982,0.1226346969123614
1983,1.983,0.12274684450859613
1984,1.984,0.1228589423221632
1985,1.985,0.12297099018365719
1986,1.986,0.12308298792391081
1987,1.987,0.1231949353739699
1988,1.988,0.12330683236512817
1989,1.989,0.12341867872888816
1990,1.99,0.12353047429696389
1991,1.991,0.12364221890129698
1992,1.992,0.12375391237405393
1993,1.993,0.1238655545476395
1994,1.994,0.12397714525466719
1995,1.995,0.12408868432798141
1996,1.996,0.12420017160064978
1997,1.997,0.12431160690594306
1998,1.998,0.12442299007742105
1999,1.999,0.12453432094878607
2000,2.0,0.1246455993540311
2001,2.001,0.12475682512734297
2002,2.0020000000000002,0.12486799810315379
2003,2.003,0.1249791181160844
2004,2.004,0.12509018500104271
2005,2.005,0.12520119859310297
2006,2.0060000000000002,0.12531215872761503
2007,2.007,0.12542306524012525
2008,2.008,0.1255339179664209
2009,2.009,0.12564471674254069
2010,2.0100000000000002,0.1257554614047004
2011,2.011,0.12586615178939073
2012,2.012,0.12597678773328078
2013,2.013,0.12608736907332163
2014,2.0140000000000002,0.1261978956466734
2015,2.015,0.1263083672907384
2016,2.016,0.12641878384310684
2017,2.017,0.12652914514168245
2018,2.0180000000000002,0.1266394510244653
2019,2.019,0.1267497013298504
2020,2.02,0.12685989589633498
2021,2.021,0.12697003456270486
2022,2.0220000000000002,0.12708011716796605
2023,2.023,0.12719014355135427
2024,2.024,0.12730011355235854
2025,2.025,0.12741002701063608
2026,2.0260000000000002,0.12751988376620754
2027,2.027,0.12762968365916405
2028,2.028,0.12773942652994122
2029,2.029,0.12784911221915396
2030,2.0300000000000002,0.12795874056770828
2031,2.031,0.1280683114166593
2032,2.032,0.1281778246074031
2033,2.033,0.12828727998146144
2034,2.0340000000000003,0.12839667738066937
2035,2.035,0.128506016647054
2036,2.036,0.12861529762289722
2037,2.037,0.1287245201507276
2038,2.0380000000000003,0.12883368407326162
2039,2.039,0.12894278923349367
2040,2.04,0.12905183547467886
2041,2.041,0.12916082264022039
2042,2.0420000000000003,0.1292697505738509
2043,2.043,0.12937861911945844
2044,2.044,0.12948742812124403
2045,2.045,0.12959617742359925
2046,2.0460000000000003,0.129704866871169
2047,2.047,0.12981349630882516
2048,2.048,0.12992206558169123
2049,2.049,0.1300305745351114
2050,2.05,0.13013902301469057
2051,2.051,0.13024741086624858
2052,2.052,0.13035573793584818
2053,2.053,0.13046400406982234
2054,2.054,0.13057220911470663
2055,2.055,0.13068035291729754
2056,2.056,0.13078843532457868
2057,2.057,0.13089645618388737
2058,2.058,0.13100441534265939
2059,2.059,0.13111231264868928
2060,2.06,0.13122014794994669
2061,2.061,0.13132792109466618
2062,2.062,0.13143563193130647
2063,2.063,0.1315432803085812
2064,2.064,0.13165086607542856
2065,2.065,0.13175838908106688
2066,2.066,0.1318658491749092
2067,2.067,0.13197324620663833
2068,2.068,0.13208058002616668
2069,2.069,0.13218785048365825
2070,2.07,0.1322950574295068
2071,2.071,0.13240220071435546
2072,2.072,0.13250928018912175
2073,2.073,0.13261629570489217
2074,2.074,0.1327232471130463
2075,2.075,0.13283013426524892
2076,2.076,0.13293695701329172
2077,2.077,0.1330437152093364
2078,2.078,0.1331504087056836
2079,2.079,0.13325703735496777
2080,2.08,0.13336360100998598
2081,2.081,0.13347009952382927
2082,2.082,0.13357653274984357
2083,2.083,0.13368290054156468
2084,2.084,0.13378920275282072
2085,2.085,0.1338954392377003
2086,2.086,0.13400160985047183
2087,2.087,0.1341077144456949
2088,2.088,0.13421375287815582
2089,2.089,0.1343197250029207
2090,2.09,0.13442563067526428
2091,2.091,0.13453146975071234
2092,2.092,0.13463724208506697
2093,2.093,0.13474294753432345
2094,2.094,0.1348485859547791
2095,2.095,0.13495415720295637
2096,2.096,0.13505966113558965
2097,2.097,0.13516509760973297
2098,2.098,0.1352704664826222
2099,2.099,0.13537576761178718
2100,2.1,0.13548100085495174
2101,2.101,0.1355861660701592
2102,2.102,0.13569126311564186
2103,2.103,0.13579629184989236
2104,2.104,0.13590125213167475
2105,2.105,0.13600614381999415
2106,2.106,0.1361109667740453
